rank,rating,reviews,weighted_score,dist_m,price,category,title,maps_url,address,web
85,4.2,942,4.205,242,,Meal delivery,Ege Restaurant Taner Usta,https://maps.google.com/?cid=12254880162859966578,"Andifli, Atatürk Blv., 07580 Kaş/Antalya, Türkiye",
86,4.1,1321,4.105,193,"₺1,000+",Meyhane,Yelken Restaurant & Meyhane,https://maps.google.com/?cid=12611660619095744433,"Andifli, Hükümet Cd. No:2/C, 07580 Kaş/Antalya, Türkiye",
87,4.1,896,4.108,308,₺400–600,Restaurant,Kaşım Restaurant Ev Yemekleri,https://maps.google.com/?cid=14326292462196167071,"Andifli, Hükümet Cd. kaymakamlık karşısı No:12, 07580 Kaş/Antalya, Türkiye",
88,4.1,142,4.144,116,"₺800–1,000",Restaurant,Kaş Asma6 Restaurant Beach Bar & Cafe,https://maps.google.com/?cid=10867048242711661783,"Andifli, Liman Sk. No:24, 07010 Kaş/Antalya, Türkiye",https://asma6kas.com/
89,4,515,4.017,288,₺200–400,Restaurant,Lezzet Durağı,https://maps.google.com/?cid=7144477454296988077,"Andifli mahallesi Uğur MUMCU caddesi çivit, no:1A, 07580 Kaş/Antalya, Türkiye",
90,4,88,4.085,124,"₺1,400–2,000",Meyhane,Bulgar Meyhane & Kaş Ocakbaşı & Kaş Restaurant,https://maps.google.com/?cid=2773839663388358869,"Andifli, Liman Sk. no:28, 07580 Kaş/Antalya, Türkiye",http://www.mumi.com.tr/
91,3.9,196,3.952,161,₺200–400,Restaurant,KAŞ ŞAHANE Restaurant,https://maps.google.com/?cid=16796509214621110347,"Andifli Mahallesi Çukurbağlılar sokak Sahan Restaurant, 07580 Kaş/Antalya, Türkiye",
92,3.8,1652,3.808,86,$$,Restaurant,Smiley's,https://maps.google.com/?cid=16529342184682209483,"Andifli, İskele Sk., 07580 Kaş/Antalya, Türkiye",
93,3.8,4,4.349,217,,Pizza takeaway,Pizza Quick,https://maps.google.com/?cid=8630438870171217626,"Andifli, 07580 Kaş/Antalya, Türkiye",
94,3.7,417,3.735,149,"₺400–1,200",Restaurant,Marina Restaurant Cafe,https://maps.google.com/?cid=13555323988572017337,"Andifli, Cumhuriyet Meydanı, 07580 Kaş/Antalya, Türkiye",
95,3.7,3,4.36,53,,Breakfast restaurant,Panorama kahvaltı,https://maps.google.com/?cid=12939872707352895321,"Andifli, 07580 Kaş/Antalya, Türkiye",
96,3.6,1514,3.611,411,"₺1,000–1,200",Restaurant,Derya Beach Restaurant,https://maps.google.com/?cid=8773874991718510009,"Andifli, Hükümet Cd., 07580 Kaş/Antalya, Türkiye",
97,3.2,374,3.264,173,₺600–800,Restaurant,LOLA RESTAURANT,https://maps.google.com/?cid=14144889816220488024,"Andifli, Cumhuriyet Meydanı No:13, 07580 Kaş/Antalya, Türkiye",http://lolarestaurant.eatbu.com/
98,2.4,62,2.902,85,₺100–200,Restaurant,Kucuk Ev - Small House restaurant,https://maps.google.com/?cid=16395344585560529212,"Andifli, Bilginler Sk., 07580 Kaş/Antalya, Türkiye",
99,0,0,0,112,,Beach club,Mumi Cafe Beach,https://maps.google.com/?cid=7963444534883967327,"Andifli, Liman Sk. no:28, 07580 Kaş/Antalya, Türkiye",http://www.mumi.com.tr/
100,0,0,0,315,,Restaurant,Medusa Alacarte Beach Restaurant,https://maps.google.com/?cid=11232297457262392697,"Andifli, 07580 Kaş/Antalya, Türkiye",http://www.medusahotels.com/
101,0,0,0,139,,Hamburger restaurant,ZEKİ BABA,https://maps.google.com/?cid=10997722962002805900,"Andifli, Öztürk Sk., 07580 Kaş/Antalya, Türkiye",
